"year";"month";"day";"precip";"tmax";"tmin"
"1981";"01";"01";0;-999;-999
"1981";"01";"02";0;-999;-999
"1981";"01";"03";0;25.7;14.3
"1981";"01";"04";0;25.7;14.08
"1981";"01";"05";0;25.9;13.63
"1981";"01";"06";0;27.54;16.94
"1981";"01";"07";0;30.52;17.35
"1981";"01";"08";0;29.85;17.56
"1981";"01";"09";0;26.49;14.9
"1981";"01";"10";0;29.17;16.22
"1981";"01";"11";0;31.03;18.24
"1981";"01";"12";0;28.48;16.29
"1981";"01";"13";0;22.88;14.31
"1981";"01";"14";0;24.9;13.2
"1981";"01";"15";0;24.35;12.36
"1981";"01";"16";0;24.81;14.52
"1981";"01";"17";0;26.43;12.73
"1981";"01";"18";0;24.45;12.79
"1981";"01";"19";0;28.72;15.25
"1981";"01";"20";0;29.13;16.37
"1981";"01";"21";0;28.5;17.4
"1981";"01";"22";0;26.65;17.48
"1981";"01";"23";0;26.67;15.6
"1981";"01";"24";0;24.92;11.72
"1981";"01";"25";45.16;23.01;12.74
"1981";"01";"26";14.39;22.24;14.32
"1981";"01";"27";0;25.51;12.45
"1981";"01";"28";0;24.32;14.29
"1981";"01";"29";0;30.11;17.25
"1981";"01";"30";0;28.38;17.49
"1981";"01";"31";0;24.5;14.71
"1981";"02";"01";0;24.72;12.03
"1981";"02";"02";0;28.22;15.94
"1981";"02";"03";0;27.56;17.49
"1981";"02";"04";0;27.13;16.67
"1981";"02";"05";0;26.6;15.73
"1981";"02";"06";0;25.43;15.36
"1981";"02";"07";0;32.96;15.64
"1981";"02";"08";0;33.78;14.18
"1981";"02";"09";0;33.11;16.19
"1981";"02";"10";0;26.79;14.76
"1981";"02";"11";0;24.04;11.87
"1981";"02";"12";0;26.85;14.7
"1981";"02";"13";0;24.98;11.49
"1981";"02";"14";0;30.46;15.63
"1981";"02";"15";0;30.01;18.69
"1981";"02";"16";0;29.81;17.72
"1981";"02";"17";0;32.56;18.79
"1981";"02";"18";0;35.26;14.89
"1981";"02";"19";0;26.74;18.79
"1981";"02";"20";0;26.74;16.89
"1981";"02";"21";0;25.27;14.92
"1981";"02";"22";0;31.58;16.37
"1981";"02";"23";0;32.59;14.27
"1981";"02";"24";0;29.32;17.04
"1981";"02";"25";0;27.15;17.27
"1981";"02";"26";0;26.85;16.26
"1981";"02";"27";0;26.77;12.71
"1981";"02";"28";0;27.41;15.73
"1981";"03";"01";0;26.92;15.45
"1981";"03";"02";7.68;29.65;16.82
"1981";"03";"03";0;22.52;12.76
"1981";"03";"04";0;28.34;12.48
"1981";"03";"05";0;31.21;14.23
"1981";"03";"06";0;32.9;15.51
"1981";"03";"07";0;34.09;12.31
"1981";"03";"08";0;27.73;15.72
"1981";"03";"09";0;26.88;16.11
"1981";"03";"10";0;28.76;15.65
"1981";"03";"11";0;29.5;15.58
"1981";"03";"12";0;25.73;15.76
"1981";"03";"13";0;26.59;16.16
"1981";"03";"14";0;28.01;15.58
"1981";"03";"15";0;26.48;13.74
"1981";"03";"16";0;24.36;13.06
"1981";"03";"17";0;25.26;14
"1981";"03";"18";0;24.82;15.01
"1981";"03";"19";0;25.67;15.24
"1981";"03";"20";0;26.79;14.55
"1981";"03";"21";0;26.7;16.29
"1981";"03";"22";0;28.23;12.67
"1981";"03";"23";28.9;28.01;15.77
"1981";"03";"24";0;20.13;12.95
"1981";"03";"25";0;22.09;12.75
"1981";"03";"26";0;22.34;15.52
"1981";"03";"27";0;23.58;10.98
"1981";"03";"28";0;25.79;11.85
"1981";"03";"29";0;24.34;15.1
"1981";"03";"30";0;26.19;10.47
"1981";"03";"31";0;33.78;11.25
"1981";"04";"01";3.87;25.17;13.03
"1981";"04";"02";0;23.87;13.41
"1981";"04";"03";0;24.85;14.54
"1981";"04";"04";0;22.49;14.21
"1981";"04";"05";0;25.46;14.57
"1981";"04";"06";0;25.04;15.01
"1981";"04";"07";5.13;25.73;13.13
"1981";"04";"08";0;20.96;9.09
"1981";"04";"09";0;19.99;4.91
"1981";"04";"10";0;23.58;7.34
"1981";"04";"11";0;26.26;10.93
"1981";"04";"12";0;19.27;10.14
"1981";"04";"13";0;23.2;10.06
"1981";"04";"14";0;25.22;9.19
"1981";"04";"15";0;29.53;9.79
"1981";"04";"16";1.87;34.67;16.37
"1981";"04";"17";0;22.89;10.9
"1981";"04";"18";0;25.82;9.35
"1981";"04";"19";0;31.04;12.01
"1981";"04";"20";0;26.73;15.31
"1981";"04";"21";0;26.46;10.86
"1981";"04";"22";0;30.73;12.02
"1981";"04";"23";0;28.04;15.13
"1981";"04";"24";0;23.33;11.02
"1981";"04";"25";3.99;22.37;10.9
"1981";"04";"26";24.25;21.69;10.27
"1981";"04";"27";15.81;16.01;11.21
"1981";"04";"28";0;19.83;9.06
"1981";"04";"29";0;20;11.47
"1981";"04";"30";0;20.88;8.24
"1981";"05";"01";0;25;9.62
"1981";"05";"02";0;21.38;10.29
"1981";"05";"03";0;21.58;5.81
"1981";"05";"04";0;26.37;8.16
"1981";"05";"05";0;20.65;11.01
"1981";"05";"06";0;18.65;10.93
"1981";"05";"07";0;22.34;5.2
"1981";"05";"08";0;23.29;7.77
"1981";"05";"09";0;24.97;8.36
"1981";"05";"10";0;21.17;13.41
"1981";"05";"11";0;21.3;6.32
"1981";"05";"12";0;17.71;8.92
"1981";"05";"13";0;19.83;8.07
"1981";"05";"14";0;20.37;7.34
"1981";"05";"15";0;25.89;8.64
"1981";"05";"16";0;29.38;8.6
"1981";"05";"17";0;19.81;7.68
"1981";"05";"18";0;22.2;10.36
"1981";"05";"19";0;20.78;9.85
"1981";"05";"20";0;21.32;6.83
"1981";"05";"21";0;27.84;8.85
"1981";"05";"22";0;19.59;8.54
"1981";"05";"23";0;24.09;11.1
"1981";"05";"24";0;29.97;11.28
"1981";"05";"25";0;28.9;14.8
"1981";"05";"26";16.22;19.97;10.41
"1981";"05";"27";0;18.34;6.2
"1981";"05";"28";0;16.18;8.55
"1981";"05";"29";0;19.53;12.33
"1981";"05";"30";0;17.89;6.25
"1981";"05";"31";0;18.87;4.48
"1981";"06";"01";0;19.62;4.48
"1981";"06";"02";0;23.62;5.98
"1981";"06";"03";0;17.78;9.08
"1981";"06";"04";12.94;17.21;9.84
"1981";"06";"05";10.36;15.55;10.1
"1981";"06";"06";7.07;17.88;11.41
"1981";"06";"07";0;17.32;6.43
"1981";"06";"08";0;15.83;1.81
"1981";"06";"09";0;18.79;1.91
"1981";"06";"10";0;18.05;2.75
"1981";"06";"11";0;16.87;6.72
"1981";"06";"12";0;18.54;3.86
"1981";"06";"13";0;20.56;6.39
"1981";"06";"14";0;19.48;4.62
"1981";"06";"15";5.56;17.91;8.01
"1981";"06";"16";0;16.83;0.72
"1981";"06";"17";0;16.1;2.16
"1981";"06";"18";0;19.82;4.06
"1981";"06";"19";0;19.94;3.75
"1981";"06";"20";24.8;19.44;4.46
"1981";"06";"21";7.24;15.33;10.26
"1981";"06";"22";0;14.99;0.31
"1981";"06";"23";0;16.73;1.89
"1981";"06";"24";0;19.01;3.91
"1981";"06";"25";3.02;16.45;5.74
"1981";"06";"26";0;12.75;3.27
"1981";"06";"27";0;15.76;4.37
"1981";"06";"28";0;16.18;7.2
"1981";"06";"29";0;17.04;4.4
"1981";"06";"30";0;17.16;5.27
"1981";"07";"01";0;16.88;10.86
"1981";"07";"02";0;15.54;9.43
"1981";"07";"03";0;17.12;8.38
"1981";"07";"04";0;18;4.36
"1981";"07";"05";0;17.04;3.85
"1981";"07";"06";6.37;18.7;5.11
"1981";"07";"07";18.6;16.25;6.48
"1981";"07";"08";0;11.77;0.54
"1981";"07";"09";0;13.86;3.49
"1981";"07";"10";17.76;20.13;4.84
"1981";"07";"11";7.45;15.07;9.41
"1981";"07";"12";17.82;15.03;10.91
"1981";"07";"13";0;14.32;8.7
"1981";"07";"14";0;15.11;0.93
"1981";"07";"15";0;15.25;1.78
"1981";"07";"16";0;17.7;2.81
"1981";"07";"17";0;17.02;7.58
"1981";"07";"18";0;16.2;5.91
"1981";"07";"19";30.45;16.84;7.08
"1981";"07";"20";0;14.65;4.47
"1981";"07";"21";0;13.78;2.44
"1981";"07";"22";8.66;15.37;5.91
"1981";"07";"23";0;14.47;5.24
"1981";"07";"24";0;15.06;2
"1981";"07";"25";0;17.62;1.18
"1981";"07";"26";0;25.21;3.51
"1981";"07";"27";7.78;16.52;8.57
"1981";"07";"28";21.05;15.97;7.61
"1981";"07";"29";0;16.18;2.19
"1981";"07";"30";0;17.2;3.21
"1981";"07";"31";8.74;21.72;3.95
"1981";"08";"01";18.12;17.06;9.44
"1981";"08";"02";0;14.62;2.36
"1981";"08";"03";0;14.24;2.6
"1981";"08";"04";0;15.71;5.19
"1981";"08";"05";0;15.55;8.03
"1981";"08";"06";0;17.93;5.07
"1981";"08";"07";13.66;17.49;9.12
"1981";"08";"08";0;16.03;6.43
"1981";"08";"09";0;15.73;7.41
"1981";"08";"10";24.2;18.94;9.28
"1981";"08";"11";2.27;14.93;7.35
"1981";"08";"12";0;16.8;8.92
"1981";"08";"13";0;17.03;9.09
"1981";"08";"14";0;15.79;1.4
"1981";"08";"15";0;18.42;1.72
"1981";"08";"16";0;19.53;3.09
"1981";"08";"17";0;15.76;7.96
"1981";"08";"18";0;16.58;2.96
"1981";"08";"19";0;18.41;0.07
"1981";"08";"20";0;19.48;1.19
"1981";"08";"21";0;20.72;4.45
"1981";"08";"22";0;21.49;11.08
"1981";"08";"23";0;20.64;8.49
"1981";"08";"24";4.87;17.15;11.24
"1981";"08";"25";0;15.13;5.53
"1981";"08";"26";0;19.65;5.7
"1981";"08";"27";24.3;14.77;6.68
"1981";"08";"28";0;11.7;3.66
