year;month;day;precip;tmax;tmin
1980;01;01;0;25;18
1980;01;02;0;26.5;15
1980;01;03;3.3;28;14
1980;01;04;1.4;22;15
1980;01;05;0;23;15.5
1980;01;06;0;26;16.5
1980;01;07;0;28.5;14.5
1980;01;08;0;29.5;16.5
1980;01;09;0;29;19
1980;01;10;0;29.5;19.5
1980;01;11;0;32;18
1980;01;12;0;29;18.5
1980;01;13;0;27;20
1980;01;14;0;29;18
1980;01;15;0;30;20
1980;01;16;0;31.5;18.5
1980;01;17;0;31.5;19
1980;01;18;0;30;21
1980;01;19;0;29;21.5
1980;01;20;2.8;29.5;21
1980;01;21;0;28.5;21.5
1980;01;22;30.2;31;21
1980;01;23;18.4;21;18.5
1980;01;24;0;29;13
1980;01;25;0;28;14
1980;01;26;0;25;17
1980;01;27;2.2;27.5;19
1980;01;28;0;30;20
1980;01;29;0;30.5;21.5
1980;01;30;0;31;22
1980;01;31;0;29;21.5
1980;02;01;10;29.5;17.5
1980;02;02;14.5;20.5;15.5
1980;02;03;10.5;23;16.5
1980;02;04;1.6;21.6;16
1980;02;05;0;27;14.5
1980;02;06;0;26;14
1980;02;07;0;24;17.5
1980;02;08;0;32;17
1980;02;09;0;30.5;15.5
1980;02;10;4.6;18.5;15
1980;02;11;1.1;22;14
1980;02;12;0;25;15
1980;02;13;0;23.5;17.5
1980;02;14;0;27.5;18
1980;02;15;0;28;19
1980;02;16;0;32;18
1980;02;17;2.4;22;17
1980;02;18;1.2;19.5;16.5
1980;02;19;0;28;16
1980;02;20;0;33.5;17.5
1980;02;21;0;32;19.5
1980;02;22;0;33;20
1980;02;23;0;33.5;20
1980;02;24;0;31.5;20.5
1980;02;25;13.4;28;21
1980;02;26;0;29;15.5
1980;02;27;2.3;23;16
1980;02;28;0;20;16.5
1980;02;29;0;32.5;17.5
1980;03;01;17.8;33;19
1980;03;02;0;29;16
1980;03;03;0;27;13.5
1980;03;04;0;29;13
1980;03;05;0;32.5;16
1980;03;06;0;27.5;20
1980;03;07;0;33;20
1980;03;08;0;34;20.5
1980;03;09;0;32;20
1980;03;10;0;33;21
1980;03;11;0;32;22
1980;03;12;0;35;22
1980;03;13;10;35.5;21
1980;03;14;5.2;23.5;22
1980;03;15;0;29.5;21
1980;03;16;0;32;21.5
1980;03;17;0;36;20
1980;03;18;0;33;21
1980;03;19;0;29;16
1980;03;20;0;33.5;16.5
1980;03;21;0;31;22
1980;03;22;0.1;31.5;21.5
1980;03;23;0;34;21
1980;03;24;0;35;22
1980;03;25;0;33.5;23.5
1980;03;26;0;35;21.5
1980;03;27;0;35.5;22
1980;03;28;0;36.5;22
1980;03;29;0;36;24
1980;03;30;0;36.5;24.5
1980;03;31;0;34;21.5
1980;04;01;0;35;21
1980;04;02;0;36;22.5
1980;04;03;0;35;26.5
1980;04;04;14.6;36;25
1980;04;05;3.5;32;24.5
1980;04;06;0;32.5;23.5
1980;04;07;0;30;23
1980;04;08;1.2;31;24
1980;04;09;7.8;36;22.5
1980;04;10;0;31.5;20
1980;04;11;0;33;20
1980;04;12;0;34;22.5
1980;04;13;22.6;31;26
1980;04;14;4.8;29;16.5
1980;04;15;1.9;28.5;20.5
1980;04;16;0;27.5;17
1980;04;17;0;28;19
1980;04;18;0;26;21
1980;04;19;0;25;21
1980;04;20;0;29;16.5
1980;04;21;0;29;16
1980;04;22;0;30;17
1980;04;23;0;30;17
1980;04;24;0;33;19
1980;04;25;0;34;20
1980;04;26;0;31.5;20.5
1980;04;27;0;31;20
1980;04;28;0;30;20
1980;04;29;0;31;17.5
1980;04;30;0;31.5;18
1980;05;01;0;35;20.5
1980;05;02;0;36;26
1980;05;03;0;35;24
1980;05;04;0;36;24.5
1980;05;05;0;31.5;24
1980;05;06;0;31;23.5
1980;05;07;0;37.5;24
1980;05;08;0;36.5;25
1980;05;09;0;38;26
1980;05;10;0;39;25
1980;05;11;0;39.5;25.5
1980;05;12;0;40;24.5
1980;05;13;0;39;25
1980;05;14;0;37;25
1980;05;15;0;31;26
1980;05;16;0;35;27
1980;05;17;0;36.5;27
1980;05;18;0;39;25
1980;05;19;6.5;37.5;25.5
1980;05;20;0;34.5;23
1980;05;21;0;36.5;23.5
1980;05;22;0;38;24
1980;05;23;0;39;24
1980;05;24;0;36;23
1980;05;25;0;35.5;27
1980;05;26;0;39;27
1980;05;27;0;35.5;25
1980;05;28;2.8;37.5;24
1980;05;29;0;37.5;25
1980;05;30;0;33.5;25.5
1980;05;31;0;36;24.5
1980;06;01;0;33.9;23.2
1980;06;02;0;33.5;22.2
1980;06;03;0.4;32.8;22.8
1980;06;04;0;31.8;22.4
1980;06;05;19;33;22.1
1980;06;06;0;33.8;22.4
1980;06;07;0;32.9;22.5
1980;06;08;0;33.4;22.5
1980;06;09;1;33.1;22.4
1980;06;10;0;33.4;23
1980;06;11;0;33.2;20.2
1980;06;12;0;33.5;20
1980;06;13;2.5;33.6;20
1980;06;14;10;33.8;22
1980;06;15;2;33.7;22
1980;06;16;0;34;20
1980;06;17;0;32.9;20
1980;06;18;0;33.2;20
1980;06;19;18;33.4;22
1980;06;20;5;33.3;20.5
1980;06;21;11;33.2;22
1980;06;22;0;33.2;20
1980;06;23;0;32;22
1980;06;24;0;31;22.3
1980;06;25;0;29.5;22
1980;06;26;15.5;32;20
1980;06;27;2.7;31;22
1980;06;28;0;32;23
1980;06;29;0;33;23
1980;06;30;0;34;24
1980;07;01;2.4;34.5;25
1980;07;02;0;33;23.5
1980;07;03;11.8;33;21.5
1980;07;04;0;32;22
1980;07;05;37.1;30;23
1980;07;06;3.4;32;23
1980;07;07;24.5;31.5;22.5
1980;07;08;8.4;30.5;22
1980;07;09;68.4;32;22
1980;07;10;1.6;32.5;21
1980;07;11;24.4;33.5;20
1980;07;12;0;33;24
1980;07;13;0;34;23
1980;07;14;84.5;32;22.5
1980;07;15;53.4;32.5;22
1980;07;16;0;32;21.5
1980;07;17;21.4;32.5;21
1980;07;18;67.6;34;22.5
1980;07;19;0;34;22.5
1980;07;20;20.4;35;23
1980;07;21;0;33.5;24
1980;07;22;22.1;33;24
1980;07;23;13.7;34;23.5
1980;07;24;8.4;34.5;22
1980;07;25;0;30.5;23
1980;07;26;0;35;23
1980;07;27;0;34;23.5
1980;07;28;54.5;30;24
1980;07;29;13.8;31.5;23.5
1980;07;30;24.6;31;23
1980;07;31;21.4;32;22
1980;08;01;36.4;30;23
1980;08;02;62.3;30.5;22
1980;08;03;0;32;21.5
1980;08;04;0;31.5;22
1980;08;05;2.1;33;22.5
1980;08;06;1.8;29;23.5
1980;08;07;0;29.5;23
1980;08;08;0;35;23.5
1980;08;09;0;32;24
1980;08;10;0;31;25
1980;08;11;0;30.5;25
1980;08;12;10.8;34;22.5
1980;08;13;0;34;22
1980;08;14;4.2;34.5;20
1980;08;15;0;29;21.5
1980;08;16;0;33;22
1980;08;17;6.4;33;24
1980;08;18;2.6;33;22.5
1980;08;19;0;33.5;22
1980;08;20;9.2;34;23
1980;08;21;108.7;32;22.5
1980;08;22;16.9;32;21.5
1980;08;23;5.8;31.5;22.5
1980;08;24;0;32.5;21
1980;08;25;33.3;33;22
1980;08;26;0;31;22
1980;08;27;1.4;32;22
1980;08;28;53.4;33;21.5
1980;08;29;11.6;30;22
1980;08;30;6.4;30.5;21.5
1980;08;31;1.4;30;22
1980;09;01;0;31.5;22
1980;09;02;0;33.5;23
1980;09;03;45.3;32;23
1980;09;04;18.2;32;22
1980;09;05;0;32.5;22
1980;09;06;5.3;32;23.5
1980;09;07;4.9;33;22
1980;09;08;3.6;33;23
1980;09;09;41.4;32;22.5
1980;09;10;52.3;30;23
1980;09;11;21.3;29.5;22
1980;09;12;12.4;29;22.5
1980;09;13;19.4;31;23
1980;09;14;22.6;30.5;22
1980;09;15;0;31;22
1980;09;16;0;32;22
1980;09;17;0;30.5;22
1980;09;18;16.2;34;22.5
1980;09;19;21.4;30;22.5
1980;09;20;3.2;31.5;22
1980;09;21;5.2;31;21
1980;09;22;6.7;32.5;21.5
1980;09;23;45.4;29;22
1980;09;24;74.5;29;22.5
1980;09;25;3.5;29.5;23
1980;09;26;2.4;28.5;22.5
1980;09;27;0;32;22.5
1980;09;28;6.4;29;22
1980;09;29;0;33;22.5
1980;09;30;3.4;32.5;23.5
1980;10;01;0;31.5;23
1980;10;02;7;31;22
1980;10;03;4.3;28.5;21.5
1980;10;04;7.4;28;21.5
1980;10;05;0;31;21
1980;10;06;0;30.5;20.5
1980;10;07;38.4;26.5;20
1980;10;08;3.4;27;19
1980;10;09;0;30;18
1980;10;10;0;32;20
1980;10;11;6.4;27;22
1980;10;12;0;29;22
1980;10;13;2.4;27;21
1980;10;14;0;31.5;18.5
1980;10;15;0;32;20.5
1980;10;16;0;32.5;21.5
1980;10;17;0;30;23
1980;10;18;0;31;23.5
1980;10;19;0;31;23
1980;10;20;0;30.5;24
1980;10;21;8.4;31;23
1980;10;22;0;31.5;23
1980;10;23;24.2;30.5;22.5
1980;10;24;25.2;30;23.5
1980;10;25;27.9;26;22.5
1980;10;26;10.2;30;22
1980;10;27;0;31.5;22.5
1980;10;28;0;34;24
